"key","Russian","English","French","Japanese","Italian","Spanish","Arab","Vietnamese","Danish","Chinese_trad","Korean","Norwegian","Portuguese","Turkish","Finnish","Swedish","German","Bulgarian","Hungarian","Greek","Chinese_simpl","Dutch","Polish","Romanian","Thai","Ukrainian","Czech",
"options","Настройки","Settings","Réglages","設定","Impostazioni","Ajustes","إعدادات","ThiếT LậP","Indstillinger","设置","설정","Innstillinger","Definições","Ayarlar","Asetukset","Inställningar","Die Einstellungen","Настройки","Beállítások","Ρυθμίσεις","设置","Instellingen","Ustawienia","Setări","การตั้งค่า","Налаштування","Nastavení",
"save_game","Сохранить","Save","Conserver","保ちます","Conservare","Conservar","احتفظ","Giữ LạI","Beholde","保留","유지","Beholde","Reter","Tutmak","Säilyttää","Behålla","Behalten","Запази","Megtartása","Διατηρώ","保留","Behouden","Zachować","Reține","รักษา","Зберегти","Udržet",
"play","Играть","Play","Jouer","演奏する","Giocare","Tocar","لعب","Chơi","Spil","玩","플레이","Spille","Jogar","Oyna","Pelata","Spela","Abspielen","Играй","Játék","Παίζω","玩","Speel","Grać","Joaca","เล่น","Грати","Hrát Si",
"developer","Разработчик","Developer","Développeur","デベロッパー","Sviluppatore","Desarrollador","مطور","Nhà Phát TriểN","Udvikler","开发人员","개발자","Utvikleren","Desenvolvedor","Geliştirici","Kehittäjä","Utvecklare","Entwickler","Разработчик","Fejlesztő","Προγραμματιστή","开发人员","Ontwikkelaar","Deweloper","Dezvoltator","ผู้พัฒนา","Розробник","Vývojář",
"achivments","Достижения","Achievements","Réalisations","実績","Realizzazioni","Logros","الإنجازات","Thành TựU","Resultater","成就","업적","Prestasjoner","Conquistas","Başarılar","Saavutukset","Prestationer","Erfolge","Постижения","Kitüntetések","Επιτεύγματα","成就","Prestaties","Osiągnięcia","Realizări","ผู้ชนะ","Досягнення","Úspěchy",
"exit","Выход","Exit","Sortie","出口","Uscita","Salida","خروج","LốI Ra","Afslut","出口","출구","Exit","Saída","Çıkış","Poistuminen","Utgång","Ausgang","Изход","Kijárat","Εξοδος","出口","Uitgang","Wyjście","Ieșire","ทางออก","Вихід","Výstup",
"back","Назад","Back","Depuis","前","Fa","Hace","منذ","Cách Đây","Siden","前","...전에","Siden","Atrás","Önce","Sitten","Sedan","Zurück","Преди","Ezelőtt","Πριν","前","Geleden","Temu","În Urmă","มาแล้ว","Назад","Před",
"fullscreen","Полноэкранный","Full-screen","Plein Écran","全画面表示","A Schermo Intero","Pantalla Completa","تكبير الشاشة","Toàn Màn Hình","Fuld Skærm","全屏","전체 화면","Full Skjerm","Tela Cheia","Tam Ekran","Koko Näyttö","Fullskärm","Vollbild","Цял Екран","Teljes Képernyő","Πληρης Οθονη","全屏","Volledig Scherm","Pełny Ekran","Ecran Complet","เต็มจอ","Редакція","Celá Obrazovka",
"volume_music","Громкость музыки","Music volume","Volume De La Musique","音楽の音量","Volume Della Musica","Volumen De La Música","طبقة صوت الموسيقا","Âm LượNg NhạC","Musik Volumen","音乐音量","음악 볼륨","Musikkvolumet","Volume Da Música","Müzik Sesi","Musiikin Äänenvoimakkuutta","Musikvolym","Musiklautstärke","Обем Музика","Zene Hangerejét","Ένταση Της Μουσικής","音乐音量","Muziekvolume","Głośność Muzyki","Volumul De Muzică","ปริมาณเพลง","Гучність Музики","Hlasitost Hudby",
"volume_effects","Громкость эффектов","Effects volume","Effets De Volume","ボリューム効果","Effetti Di Volume","Los Efectos De Volumen","آثار حجم","HiệU ỨNg Âm LượNg","Volumen Effekter","体积效应","볼륨 효과","Volumeffekter","Efeitos De Volume","Hacim Etkileri","Volyymien","Volymeffekter","Volumeneffekte","Обемни Ефекти","Térfogat Hatások","Εφέ Όγκου","体积效应","Volume-Effecten","Efekty Głośności","Efecte De Volum","ผลกระทบปริมาณ","Гучність Ефектів","Objemové Efekty",
"volume_voice","Громкость голоса","Voice volume","Volume De Voix","音声の音量","Volume Della Voce","Volumen De Voz","حجم الصوت","KhốI LượNg GiọNg Nói","Stemmelydstyrken","语音音量","음성 볼륨","Stemmevolum","Volume De Voz","Ses Seviyesi","Ääni Volyymi","Röstvolymen","Stimmen Lautstärke","Силата На Звука","Hangerő","Η Φωνή Του Όγκου","语音音量","Stemvolume","Objętość Głos","Volumul Vocii","ปริมาณเสียง","Гучність Голосу","Hlasitost",
"graphic_quality","Качество графики","Graphics quality","Graphiques De Qualité","品質のグラフィックス","Grafica Di Qualità","Gráficos De Calidad","جودة الرسومات","Đồ HọA ChấT LượNg","Kvalitet Grafik","高质量的图形","품질의 그래픽","Kvalitet Grafikk","Qualidade Gráfica","Kaliteli Grafikleri","Grafiikka","Kvalitet Grafik","Qualität Grafiken","Качество На Графиката","Minőségű Grafika","Ποιότητα Γραφικών","高质量的图形","Kwaliteit Graphics","Jakość Grafiki","Grafică De Calitate","กราฟิกที่มีคุณภาพ","Якість Графіки","Kvalitní Grafika",
"screen_resolution","Разрешение экрана","Screen resolution","Résolution D'Écran","画面の解像度","Risoluzione Dello Schermo","Resolución De La Pantalla","دقة الشاشة","Độ Phân GiảI Màn Hình","Skærmopløsning","屏幕分辨率","화면 해상도","Skjermoppløsning","Resolução Da Tela","Ekran Çözünürlüğü","Näytön Resoluutio","Skärmupplösning","Bildschirmauflösung","Резолюция На Екрана","Képernyőfelbontás","Ανάλυση Της Οθόνης","屏幕分辨率","Schermresolutie","Rozdzielczość Ekranu","Rezolutia Ecranului","ความละเอียดหน้าจอ","Розширення Екрану","Rozlišení Obrazovky",
"language","Язык","Language","Langue","言語","Linguaggio","Idioma","لغة","Ngôn Ngữ","Sprog","语言","언어","Språk","Língua","Dil","Kieli","Språk","Sprache","Език","Nyelv","Γλώσσα","语言","Taal","Język","Limba","ภาษา","Мова","Jazyk",
"apply","Применить","Apply","Appliquer","適用します","Applicare","Aplicar","تطبيق","ỨNg DụNg","Ansøge","应用","대다","Søke Om","Aplique","Uygulamak","Käytä","Tillämpa","Anwenden","Приложи","Alkalmaz","Ισχύουν","应用","Van Toepassing Zijn","Zastosować","Aplica","ใช้","Застосувати","Aplikovat",
"mouse_sensitivity","Чувствительность мыши","Mouse sensitivity","Sensibilité De La Souris","マウス感度","Sensibilità Del Mouse","Sensibilidad Del Ratón","حساسية الفأرة","Độ NhạY CủA ChuộT","Følsomhed Mus","鼠标灵敏度","마우스 감도","Mus Følsomhet","Sensibilidade Do Mouse","Fare Hassasiyeti","Hiiren Herkkyys","Muskänslighet","Maus-Empfindlichkeit","Чувствителност На Мишката","Egér Érzékenység","Ευαισθησία Ποντικιού","鼠标灵敏度","Muis Gevoeligheid","Czułość Myszy","Sensibilitatea Mouse-Ului","ความไวของเมาส์","Чутливість Миші","Citlivost Myši",
"level","Уровень","Level","Niveau","レベル","Livello","Nivel","مستوى","CấP Độ","Niveau","水平","수평","Nivå","Nível","Seviye","Taso","Nivå","Niveau","Ниво","Szint","Επίπεδο","水平","Niveau","Poziom","Nivel","ชั้น","Рівень","Úroveň",
"experience","Опыт","Experience","Expérience","経験","Esperienza","Experiencia","تجربة","Kinh NghiệM","Erfaring","经验","경험","Erfaring","Experiência","Deneyim","Kokea","Erfarenhet","Erfahrung","Опит","Tapasztalat","Εμπειρία","经验","Ervaring","Doświadczenie","Experienţă","ประสบการณ์","Досвід","Zkušenosti",
"hold_to_give_up","Удерживайте, чтобы сдаться","Hold to surrender","Tenir À Se Rendre","降伏にホールド","Attesa Per La Resa","En Espera Para La Entrega","عقد لاستسلام","Giữ Để ĐầU Hàng","Hold Til Overgivelse","保持投降","항복을 보류","Hold Til Overgivelse","Espera Para A Rendição","Teslim Etmek Tut","Hold Antautua","Håll Till Överlämnandet","Halten Sie Zu Übergabe","Задържане На Предаване","Tart Átadás","Αναμονή Για Την Παράδοση","保持投降","Hold Zich Over Te Geven","Hold Do Kapitulacji","Reținere La Predarea","ค้างไว้เพื่อยอมแพ้","Утримуйте, Щоб Здатися","Hold Pro Odevzdání",
"STRUGGLE_FOR_LIFE","БОРЬБА ЗА ЖИЗНЬ","FIGHT FOR LIFE","Combat Pour La Vie","Life For Fight","Combatti Per La Vita","Lucha Por La Vida","الكفاح من أجل الحياة","ChốNg Cho CuộC SốNg","Kæmp For Life","为生活而奋斗","생명을 위해 싸울","Slåss For Livet","Lute Pela Vida","Yaşam İçi̇n Savaş","Taistele Elämästä","Slåss För Livet","Um Das Überleben Kämpfen","Се Бори За Живота","Harc Az Élet","Αγώνα Για Τη Ζωή","为生活而奋斗","Vechten Voor Leven","Walcz O Życie","Lupta Pentru Viata","สู้เพื่อชีวิต","Боротьба За Життя","Boj For Life",
"continue","Продолжить","Continue","Procéder","進みます","Procedere","Continuar","تقدم","TiếN Hành","Fortsæt","继续","발하다","Fortsette","Continuar","İlerlemek","Edetä","Fortsätt","Vorgehen","Продължи","Folytassa","Προχωρώ","继续","Doorgaan","Kontynuować","Continua","ดำเนินดำเนินการต่อ","Продовжити","Pokračovat",
"reborn","Переродиться","Reborn","René","生まれ変わります","Rinascere","Renacido","تولد من جديد","PhụC Sinh","Genfødt","重生","재 탄생","Gjenfødt","Renascido","Yeniden Doğmak","Uudestisyntynyt","Pånyttfödd","Neugeboren","Прероди","Újjászületett","Αναγεννημένος","重生","Herboren","Odrodzony","Renăscut","เกิดใหม่","Переродитися","Znovuzrozený",
"interface_size","Размер интерфейса","Interface size","Taille De L'Interface","インタフェースのサイズ","Dimensioni Interfaccia","Tamaño Del Interfaz","حجم واجهة","Kích ThướC Giao DiệN","Grænseflade Størrelse","接口尺寸","인터페이스 크기","Grensesnitt Størrelse","Tamanho De Interface","Arayüz Boyutu","Käyttöliittymä Koko","Gränssnitt Storlek","Schnittstelle Größe","Размер Интерфейс","Felület Mérete","Μέγεθος Διεπαφή","接口尺寸","Interface Grootte","Wielkość Interfejs","Dimensiune Interfață","ขนาดอินเตอร์เฟซ","Розмір Інтерфейсу","Velikost Interface",
"new_game","Новая игра","New game","Nouveau Jeu","新しいゲーム","Nuovo Gioco","Nuevo Juego","لعبة جديدة","Trò Chơi MớI","Nyt Spil","新游戏","새로운 게임","Nytt Spill","Novo Jogo","Yeni Oyun","Uusi Peli","Nytt Spel","Neues Spiel","Нова Игра","Új Játék","Νέο Παιχνίδι","新游戏","Nieuw Spel","Nowa Gra","Joc Nou","เกมส์ใหม่","Нова Гра","Nová Hra",
"continue","Продолжить","Proceed","Procéder","進みます","Procedere","Continuar","تقدم","TiếN Hành","Fortsæt","继续","발하다","Fortsette","Continuar","İlerlemek","Edetä","Fortsätt","Vorgehen","Продължи","Folytassa","Προχωρώ","继续","Doorgaan","Kontynuować","Continua","ดำเนินดำเนินการต่อ","Продовжити","Pokračovat",
